Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0022400	PcyM_0022400-t36_1	PcyM_0022400	N/A	0	6.97	0	
PcyM_0022500	PcyM_0022500-t36_1	PcyM_0022500	N/A	0	101.9	0	
PcyM_0022700	PcyM_0022700-t36_1	PcyM_0022700	N/A	0	3.6	0	
PcyM_0022800	PcyM_0022800-t36_1	PcyM_0022800	N/A	0	51.61	2.08	
PcyM_0022900	PcyM_0022900-t36_1	PcyM_0022900	N/A	0	20.46	0.95	
PcyM_0023000	PcyM_0023000-t36_1	PcyM_0023000	N/A	0	6.54	0	
PcyM_0023100	PcyM_0023100-t36_1	PcyM_0023100	N/A	0	1.92	1.55	
PcyM_0023200	PcyM_0023200-t36_1	PcyM_0023200	N/A	0	4.38	0	
PcyM_0023300	PcyM_0023300-t36_1	PcyM_0023300	N/A	0	4.29	0	
PcyM_0023400	PcyM_0023400-t36_1	PcyM_0023400	N/A	0	1.52	0	
PcyM_0023450	PcyM_0023450-t36_1	PcyM_0023450	N/A	0	6.02	0	
PcyM_0023470	PcyM_0023470-t36_1	PcyM_0023470	N/A	0	4.45	0	
PcyM_0023500	PcyM_0023500-t36_1	PcyM_0023500	N/A	0	4.82	0	
PcyM_0023600	PcyM_0023600-t36_1	PcyM_0023600	N/A	0	1.54	0	
PcyM_0023650	PcyM_0023650-t36_1	PcyM_0023650	N/A	0	7.68	3.36	
